Gene	HGNC_Id	Entrez_Gene_Id	Condition	Inheritance	Age_Group	Allelic_Conditions	Manifestation_Categories	Intervention_Categories	Comments	Intervention_Rationale	Refs
LRIT3	24783	345193	Night blindness, congenital stationary (complete), 1F, autosomal recessive	AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	23246293
LRP1	6692	4035	Schizophrenia	AD	N/A	N/A	Neurologic	General		Evidence or clinical applicability is unclear	21743468
LRP2	6694	4036	Donnai-Barrow syndrome; Faciooculoacousticorenal syndrome	AR	Pediatric		Audiologic/Otolaryngologic; Craniofacial; Musculoskeletal; Ophthalmologic; Renal	Audiologic/Otolaryngologic; General	The condition can involve multiple congenital anomalies	Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	8266995; 9475100; 12923867; 17632512; 18553518; 20301732 
LRP4	6696	4038	Cenani-Lenz syndactyly syndrome; Sclerosteosis 2	AD/AR	N/A	N/A	Craniofacial; Musculoskeletal; Renal	General	Cenani-Lenz syndactyly syndrome can involve multiple congenital anomalies	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	7891385; 9182770; 10756427; 11260233; 11385236; 14577675; 12868467; 18978656; 20381006; 21471202
LRP5	6697	4041	van Buchem disease, type 2; Osteopetrosis, autosomal dominant 1; Osteosclerosis; Hyperostosis, endosteal; Exudative vitreoretinopathy 4; Osteoporosis-pseudoglioma syndrome	AD/AR/Digenic	N/A	N/A	Musculoskeletal; Ophthalmologic	General	Digenic inheritance (with FZD4) has been reported in Exudative vitreoretinopathy	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8832721; 9056564; 9831343; 10434540; 11719191; 12015390; 11741193; 12054167; 12579474; 15346351; 15024691; 15981244; 20301326; 21407258; 21600326; 22456437; 22487062; 23077402 
LRP6	6698	4040	Coronary artery disease, autosomal dominant 2	AD	Pediatric		Cardiovascular	Cardiovascular	While severe manifestations may occur later in life, surveillance and preventive measures may be beneficial prior to adulthood	Preventive measures related to control of contributing factors associated with coronary artery disease may be beneficial to reduce morbidity and mortality	17332414
LRPAP1	6701	4043	Myopia 23, autosomal recessive	AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	23830514
LRPPRC	15714	10128	Leigh syndrome, French-Canadian type	AR	N/A	N/A	Biochemical; Craniofacial; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8392290; 8392291; 12529507; 21266382
LRRC6	16725	23639	Ciliary dyskinesia, primary 19	AR	Pediatric		Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Cardiovascular; Gastrointestinal; Genitourinary; Pulmonary	Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Cardiovascular; Pulmonary		Pulmonary and audiologic surveillance may be beneficial to assess respiratory  and hearing function and institute early management measures; In order to facilitate mucus clearance, aggressive interventions (eg, chest percussion and oscillatory vest), as well as vaccinations and early and aggressive treatment of  respiratory infections may be beneficial, though measures including lobectomy or lung transplantation may be necessary; Individuals may require surgery or other interventions related to congenital cardiac malformations	23122589
LRRC8A	19027	56262	Agammaglobulinemia 5	AD	Pediatric		Allergy/Immunology/Infectious	Allergy/Immunology/Infectious	Only one individual (with a translocation affecting LRRC8A) has been described; This individual also demonstrated dysmorphic facies in addition to agammaglobulinemia	Congenital agammaglobulinemia has been described, and antiinfectious prophylaxis and early and aggressive treatment of infections may be beneficial	14660746
LRRK2	18618	120892	Parkinson disease 8; Dementia, Lewy body	AD	N/A	N/A	Neurologic	General	Response to levodopa has been documented	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	15541309; 16437584; 16437559; 19458969
LRSAM1	25135	90678	Charcot-Marie-Tooth disease, axonal, type 2P	AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	20865121; 22012984; 22781092
LRTOMT	25033	220074	Deafness, autosomal recessive 63	AR	Pediatric		Audiologic/Otolaryngologic	Audiologic/Otolaryngologic		Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	17166180; 17066295; 18953341; 18794526
LTBP2	6715	4053	Glaucoma 3, primary congenital, D; Microspherophakia and/or megalocornea, with ectopia lentis and with or without secondary glaucoma; Weill-Marchesani syndrome 3	AR	Pediatric		Cardiovascular; Craniofacial; Musculoskeletal; Ophthalmologic	Cardiovascular; Ophthalmologic; Pharmacogenomic		Surveillance, early diagnosis, and treatment of manifestations such as ectopicia lentis and glaucoma with surgical interventions (with the use of pre and postoperative agents to control intraocular pressure), or, if surgery is not effective, drainage implants or cyclodestruction, may be effective to decrease morbidity and mortality related to vision loss;  Individuals with cardiovascular manifestations including pulmonary and aortic stenosis have been described, and awareness may allow early diagnosis and treatment; Agents that may contribute to glaucoma, as well as alpha-2-agonists, should be avoided	18776954; 19361779; 19656777; 20179738; 20301293; 20301314; 20617341; 21081970; 22025892; 22539340; 23401661
LTBP3	6716	4054	Tooth agenesis, selective, 6	AR	N/A	N/A	Dental; Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	19344874
LTBP4	6717	8425	Cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities	AR	N/A	N/A	Cardiovascular; Craniofacial; Dermatologic; Gastrointestinal; Genitourinary; Musculoskeletal; Pulmonary	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	19836010
LTC4S	6719	4056	Asthma, aspirin-induced, susceptibility to	AR	Pediatric	 	General	Pharmacogenomic		The relative risk/odds ratios of identified variants are overall relatively low, but variants may have pharmacogenomic importance	10970818; 19862937; 22884858; 23101307
LYRM4	21365	57128	Combined oxidative phosphorylation deficiency 19	AR	N/A	N/A	Biochemical; Neurologic	General	Severe neonatal lactic acidosis has been described, but it is unclear if specific causative knowledge would be helpful in management (in one individual, supportive treatment in infancy has been described as beneficial)	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	23814038
LYST	1968	1130	Chediak-Higashi syndrome	AR	Pediatric		Allergy/Immunology/Infectious; Dermatologic; Hematologic; Neurologic; Oncologic	Allergy/Immunology/Infectious; Hematologic; Oncologic		Individuals can have infection susceptibility, and prophylaxis and early and aggressive treatment of infections can be beneficial; Surveillance for hematologic complications and malignancy is warranted; For the accelerated phase, chemoimmunotherapy then  transition to continuation therapy can be beneficial; For bleeding, platelet transfusions and DDAVP may be beneficial to prevent and/or treat  episodes; BMT/HSCT has been described	13584476; 5908967; 5156632; 5064229; 711501; 2697195; 2070553; 2058369; 8030398; 8701696; 9215680; 10422800; 10527680; 11857544; 15790783; 20503323; 20301751; 21488161; 23521865
LYZ	6740	4069	Amyloidosis, systemic nonneuropathic	AD	N/A	N/A	Dermatologic; Gastrointestinal; Renal	General	The treatment of amyloidosis differs depending on the genetic cause (and genetic diagnosis may additionally help avoid relatively high-risk treatment regimens), and in lysozyme amyloidosis, liver and renal transplantation may be beneficial, but it is not clear that early (genetic) diagnosis would be beneficial	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8464497; 15745733; 21988333 
MAF	6776	4094	Cataract 21, multiple types	AD	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	11772997; 16470690
MAFB	6408	9935	Multicentric carpotarsal osteolysis	AD	N/A	N/A	Craniofacial; Musculoskeletal; Renal	General	Individuals frequently have progressive renal disease	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	22387013
MAGT1	28880	84061	Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia	XL	Pediatric	Allelic with Mental retardation, X-linked 95 (XL)	Allergy/Immunology/Infectious; Neurologic	Allergy/Immunology/Infectious	For Mental retardation, X-linked 95, the evidence of mutations as being related to disease causation has been questioned due to subsequent population-based studies	Antiinfectious prophylaxis and early and aggressive treatment of infections may be beneficial	18455129; 21796205; 23871722
MAK	6816	4117	Retinitis pigmentosa 62	AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	21835304
MALT1	6819	10892	Immunodeficiency 12	AR	Pediatric		Allergy/Immunology/Infectious	Allergy/Immunology/Infectious		Individuals have been described as suffering from primary immunodeficiency including infantile-onset recurrent bacterial and candidal infections, and awareness may allow prophylaxis and early and aggressive treatment of infections	23727036
MAMLD1	2568	10046	Hypospadias 2, X-linked	XL	N/A	N/A	Genitourinary	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	17086185
MAN1B1	6823	11253	Mental retardation, autosomal recessive 15	AR	N/A	N/A	Craniofacial; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	20345473; 21763484; 21063731
MAN2B1	6826	4125	Mannosidosis, alpha B, lysosomal	AR	Pediatric		Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Biochemical; Musculoskeletal; Neurologic; Ophthalmologic	Allergy/Immunology/Infectious; Audiologic/Otolaryngologic		Though the disorder may be clinically recognziable, manifestations can include immunodeficiency, and prophylactic vaccines and early and aggressive treatment of infections can be beneficial; Some individuals may manifest with early-onest hearing impairment, and early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	4358183; 995502; 724292; 6860058; 4082921; 1472354; 8357013; 7702090; 9158146;  9758606; 11014473; 15534274; 18651971; 20301570
MANBA	6831	4126	Mannosidosis, beta A, lysosomal	AR	N/A	N/A	Biochemical; Musculoskeletal; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	3762648; 2945113; 2079835; 1623631; 1499588; 8285582; 59034; 9384606; 12468273; 16401745; 17420068; 18565776; 19728872; 22369051 
MAOA	6833	4128	Brunner syndrome	XL	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	8211186; 8503438; 20485326; 22365943
MAP2K1	6840	5604	Cardiofaciocutaneous syndrome	AD	Pediatric		Cardiovascular; Craniofacial; Hematologic; Musculoskeletal; Neurologic; Oncologic	Cardiovascular; Oncologic		Surveillance and treatment related to  manifestations such as cardiac anomalies can be beneficial; Individuals may be at increased malignancy risk (eg, an individual with hepatoplastoma has been described), and awareness may allow prompt recognition and treatment of oncologic sequelae	16439621; 17551924; 17567882; 18456719; 18042262; 20301303; 20301365; 21495173
MAP2K2	6842	5605	Cardiofaciocutaneous syndrome	AD	Pediatric		Cardiovascular; Craniofacial; Musculoskeletal; Neurologic; Oncologic	Cardiovascular; Oncologic		Surveillance and treatment related to  manifestations such as cardiac anomalies can be beneficial; Individuals with malignancies have been reported (eg, hematologic malignancies), and awareness of increased risk may be beneficial in order to allow prompt detection and management	16439621; 8456719; 18042262; 20301365; 20358587; 21178588; 21495173 
MAP3K1	6848	4214	46,XY Sex Reversal 6	AD	Pediatric		Endocrine; Genitourinary; Oncologic	Genitourinary; Oncologic		Surveillance and surgical treatment of gonadal tumors can reduce morbidity	12476449; 21129722
MAPK10	6872	5602	Epileptic encephalopathy, Lennox-Gastaut type	AD	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	16249883; 23329067
MAPK8IP1	6882	9479	Diabetes mellitus	AD	N/A	N/A	Endocrine	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	10700186
MAPT	6893	4137	Supranuclear palsy, progressive; Frontotemporal dementia; Parkinson-dementia sydnrome; Pick disease	AD/AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	1416801; 7936288; 7936241; 7977375; 9029080; 9781517; 9789048; 10202939; 9443491; 9641683; 9708963; 9932968; 10072441; 10412802; 10534245; 10388790; 11134398; 11117542; 11445645; 11710889; 11601501; 11220749; 12177383; 12056930; 14595660; 12913211; 14991829; 15792962; 16195395; 10388790; 16278856; 17923640; 17310038; 18703462; 19884571; 19884572; 19786698; 21295377; 21555888; 21558644; 21943955; 22109955; 22482453; 22699846 
MARS	6898	4141	Infantile liver failure syndrome 2	AR	Pediatric		Biochemical; Endocrine; Gastrointestinal; Hematologic; Neurologic; Pulmonary	Hematologic	Only one individual has been described	While the condition may involve multiple issues related to medical care, the described individual had transfusion-dependent anemia, and awareness may allow prompt recognition and treatment	24103465
MARVELD2	26401	153562	Deafness, autosomal recessive 49	AR	Pediatric		Audiologic/Otolaryngologic	Audiologic/Otolaryngologic		Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	15538632; 17186462; 18084694
MASP1	6901	5648	3MC syndrome 1	AR	Pediatric		Audiologic/Otolaryngologic; Craniofacial; Musculoskeletal; Neurologic 	Audiologic/Otolaryngologic	The condition can include multiple congenital anomalies	Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development	690758; 17937425; 18266249; 21035106; 21258343
MASP2	6902	10747	MASP2 deficiency	AR	Pediatric		Allergy/Immunology/Infectious	Allergy/Immunology/Infectious		Surveillance and early treatments for autoimmune phenomena may be beneficial; Infectious sequelae have been reported, but the relation to immunosuppresion regimens is unclear	12904520; 19767106; 20338057
MASTL	19042	84930	Thrombocytopenia 2	AD	Pediatric		Hematologic	Hematologic		Individuals may have bleeding tendency, and precautions (eg, in surgical situations) may be beneficial	10891439; 12890928; 22102272 
MAT1A	6903	4143	Methionine adenosyltransferase deficiency	AD/AR	Pediatric		Biochemical; Neurologic	Biochemical		While the disorder frequently does not have severe sequelae, and therapy may not be required for many individuals, in some, dietary measures (eg, methionine restriction) may be beneficial; AdoMet therapy has also been described as beneficial	1191305; 7229751; 7271238; 3812486; 3339126; 1683972; 1527987; 7573050; 7560086; 8770875; 9042912; 9482646; 12705496
MATN3	6909	4148	Spondyloepimetaphyseal dysplasia, matrilin-3 related; Epiphyseal dysplasia, multiple, 5	AD/AR	N/A	N/A	Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	13849708; 11479597; 11528506; 12884427; 15121775; 14729835; 15948199; 18205203; 20301302; 21922596; 21965141 
MATR3	6912	9782	Myopathy, distal, 2	AD	N/A	N/A	Audiologic/Otolaryngologic; Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9837826; 19344878
MAX	6913	4149	Pheochromocytoma	AD	Pediatric		Oncologic	Oncologic		Surveillance and/or awareness of cancer risk may allow early diagnosis and treatment of neoplasms, which may may reduce morbidity and mortality	21685915
MBD5	20444	55777	Mental retardation, autosomal dominant 1	AD	N/A	N/A	Craniofacial; Neurologic; Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	17847001; 21981781
MBL2	6922	4153	Mannose-binding protein deficiency	AD	Pediatric	 	Biochemical	Pharmacogenomic		Low MBL levels are associated with increased risk of infection in young children, cancer patients undergoing chemotherapy, and organ-transplant patients treated with immunosuppressive regimens, especially liver transplant recipients	21871896
MBTPS2	15455	51360	Keratosis follicularis spinulosa decalvans, X-linked; IFAP syndrome with or without BRESHECK syndrome 	XL	N/A	N/A	Craniofacial; Dermatologic; Gastrointestinal; Musculoskeletal; Neurologic; Ophthalmologic; Renal	General	IFAP syndrome with or without BRESHECK syndrome can involve multiple congenital anomalies	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	1552542; 10398262; 10694306; 8745901; 18984066; 19361614; 20672378; 22105905 
MC1R	6929	4157	Increased analgesia from kappa-opioid receptor agonist, female specific	AD	Pediatric	Allelic with Skin/hair/eye pigmentation, variation in, 2 (AD)	General	Pharmacogenomic	Skin/hair/eye pigmentation, variation in may not have actionable relevance, though there may be increased risk of skin cancer	Variants may have pharmacogenomic relevance, as results suggest that women with 2 variant MC1R alleles demonstrate  greater analgesia from  kappa-opioid pentazocine	7581459; 8894704; 11030758; 10631149; 11487574; 11500805; 11500806; 12876664; 12839583; 12663858; 16809487; 17952075; 19578364; 21693730; 21128237; 22095472; 22561518 
MC2R	6930	4158	Glucocorticoid deficiency 1	AR	Pediatric		Endocrine	Endocrine		Early recognition and preventive measures and treatment related to hypoglycemia (as well as to potential infectious episodes) can be effective	13616862; 4302512; 4312011; 4342294; 4349230; 238474; 2539720; 8094489; 8227361; 7627261; 12851305; 21823545; 22337906; 22814974 
MC4R	6932	4160	Obesity, autosomal dominant	AD	N/A	N/A	Endocrine	General	Biallelic mutations have been described	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9771698; 9771699; 10199800; 10577903; 11487744; 12646665; 12499395; 12646666; 14764818; 16507637; 16492696; 20957447; 20966905; 21047921; 21921657; 22463805 
MCCC1	6936	56922	3-Methylcrotonyl-CoA carboxylase 2 deficiency	AR	Pediatric		Biochemical; Neurologic	Biochemical		Therapy may not be necessary/effective in some individuals, but medical (eg, carnitine, glycine) and dietary (eg, low protein, leucine restricted) therapy may be beneficial in some individuals; Precautions in the setting of stressors such as viral illnesses may be beneficial	4194964; 5035417; 1000869; 6441868; 2515383; 1779635; 1517917; 8598648; 9187484; 10485305; 11181649; 11170888; 11893004; 16835865; 17968484; 21734494; 22264772; 22642865 
MCCC2	6937	64087	3-Methylcrotonyl-CoA carboxylase 2 deficiency	AR	Pediatric		Biochemical; Neurologic	Biochemical		Therapy may not be necessary/effective in some individuals, but medical (eg, carnitine, glycine) and dietary (eg, low protein, leucine restricted) therapy may be beneficial in some individuals; Precautions in the setting of stressors such as viral illnesses may be beneficial	7128647; 1293382; 8598650; 8831079; 9544913; 11181649; 11170888; 15877210; 16835865; 17968484; 22030835; 22264772; 22642865 
MCEE	16732	84693	Methylmalonyl-CoA epimerase deficiency	AR	N/A	N/A	Biochemical; Neurologic; Ophthalmologic	Biochemical	No response to vitamin B12 administration was documented in the affected individual	Long-term dietary (high-calorie diet low in propiogenic amino acid precursors with carnitine supplementation) and medical management (eg, IM hydroxocobalamin, antibiotics to decrease propionate production) is indicated; Fasting and high-protein consumption should be avoided; In the emergent setting, prompt recognition and appropriate metabolic care may be beneficial to decrease morbidity and mortality; Antioxidants for optic nerve atrophy may be beneficial; Liver/kidney transplant has been described in methylmalonic acidemia	16752391; 17823972; 20301409
MCFD2	18451	90411	Factor V & Factor VIII, combined deficiency of	AR	Pediatric		Hematologic	Hematologic		Preventive measures and prompt treatment of bleeding diathese may reduce morbidity; Medical treatment to replace absent factors can be effective (eg, with FFP for FV, Desmopression or FVIII concentrates/recombinant products/plasma-derived factor for FVIII)	12717434; 15333032; 16304051; 19141160; 18391077; 21492322; 22535353 
MCM6	6949	4175	Lactose intolerance, adult type; Lactase persistence	AD	N/A	N/A	Biochemical; Gastrointestinal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	7543318; 9481112; 11788828; 12915462; 15114531; 16041375; 15928901; 16019716; 17120047; 17159977; 18179885
MCOLN1	13356	57192	Mucolipidosis IV	AR	N/A	N/A	Biochemical; Neurologic; Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	4365943; 166049; 7114093; 3918453; 2438637; 1789285; 9323557; 9600972; 9710036; 10973263; 11030752; 15523648; 17239335; 19006653; 20159435 
MCPH1	6954	79648	Microcephaly, primary autosomal recessive, 1	AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	7693575; 12046007; 11857108; 15199523; 16311745; 20978018; 20101680; 21668957 
MECP2	6990	4204	Rett syndrome; Encephalopathy, neonatal severe, due to MECP2 mutations; Autism, X-linked 3; Lubs X-linked mental retardation 13; Angelman-like syndrome	XL	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	5300597; 8651288; 9377804; 9326329; 9637791; 10508514; 10232754; 10398236; 10577905; 11106359; 12615169; 11071498; 11022934; 11768391; 11309367; 11402105; 11746022; 11930274; 11885030; 12325019; 11807877; 11913564; 12770674; 14598336; 12615169; 12615169; 15034579; 16077729; 15689435; 16080119; 17172942; 16965328; 17088400; 16690727; 16832102; 17712354; 17351020; 18477000; 18989701; 19194883; 18985075; 20035514; 19365833; 20425814; 21154482; 21104896; 22415763; 22578097; 22581587 
MED12	11957	9968	Lujan-Fryns syndrome; Opitz-Kaveggia syndrome; Mental retardation, X-linked, with Marfanoid habitus; FG syndrome; Ohdo syndrome	XL	N/A	N/A	Craniofacial; Gastrointestinal; Musculoskeletal; Neurologic	General	Aortic root dilatation and ventricular septal defect were reported in one individual and his maternal uncle	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	4365204; 6711603; 3322000; 10405444; 10508979; 17036352; 17334363; 17369503; 18973276; 19938245; 20301719; 20507344; 20981778; 23395478
MED13L	22962	23389	Transposition of the great arteries, dextro-looped 1; Congenital heart defects and intellectual disability; Intellectual disability, autosomal recessive	AD/AR	N/A	N/A	Cardiovascular; Craniofacial; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	14638541; 21937992; 23403903 
MED17	2375	9440	Microcephaly, postnatal progressive, with seizures and brain atrophy	AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	20950787
MED23	2372	9439	Mental retardation, autosomal recessive 18	AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	21868677
MED25	28845	81857	Charcot-Marie-Tooth disease, axonal, tybe 2B2	AR	N/A	N/A	Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	19290556
MEF2C	6996	4208	Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations	AD	N/A	N/A	Craniofacial; Neurologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	19876902; 19592390; 20412115; 20513142;  23001426
MEFV	6998	4210	Familial Mediterranean fever	AD/AR	Pediatric		Allergy/Immunology/Infectious; Dermatologic; Musculoskeletal; Renal	Allergy/Immunology/Infectious	It has been described that heterozygous mutations, while potentially contributing to/causing certain autoinflammatory disorders, do not cause classic (Mendelian) Familial Mediterranean fever, but may act as risk alleles (susceptibility factors) for clinically similar forms of disease	Individuals may present with periodic fever, pain (including abdominal pain, arthritis, pleurisy), and rash,and medical treatment aimed at reducing inflammation (eg, with colchicine, TNF-alpha antibodies, IL-1 decoy receptor agents) can be effective (and additional considerations related to medical treatment prior to and during pregnancy may be beneficial); BMT has been reported	14162896; 4437392; 4636899; 4783424; 921085; 6822630; 3966749; 3306755; 3515182; 3694919; 8434621; 8831074; 9288094; 9288758; 9415347; 9266193; 9450890; 10528243; 10787449; 12130485; 12529300; 14679589; 15024744; 16632148; 20301405; 23075349; 23070486; 23463692; 23508419; 23505238; 23521609; 23710607; 23716950; 23742958;  23800337; 23844200
MEGF10	29634	84466	Myopathy, early-onset, areflexia, respiratory distress, and dysphagia	AR	N/A	N/A	Craniofacial; Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	17236770; 22101682; 22371254; 23453856 
MEGF8	3233	1954	Carpenter syndrome 2	AR	N/A	N/A	Cardiovascular; Craniofacial; Endocrine; Gastrointestinal; Genitourinary; Musculoskeletal 	General	The condition can include multiple malformations, including cardiac and genitourinary malformations	Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	23063620
MEN1	7010	4221	Multiple endocrine neoplasia type I; Hyperparathyroidism, familial primary	AD	Adult		Endocrine; Oncologic	Endocrine; Oncologic		Surveillance and early detection of and treatment for neoplasms, as well as related sequelae may allow treatment (eg, with PPIs/somatostatin analogs, as well as appropriate and tailored surgical interventions and follow-up), and may decrease morbidity and mortality	6108714; 2857681; 9215689; 9103196; 9236523; 9215690; 9463336; 9683585; 9554741; 9832038; 9506756; 9709923; 9792884; 10439966; 10193936; 11344233; 11739416; 11295574; 12417605; 12050235; 11836268; 12112656; 12791038; 15531478; 14871962; 15240620; 15292304; 14985373; 17879353; 20301710; 22522645; 22549346; 22581216; 22584706; 23052745; 23376981; 23443490; 23645327; 23652667; 23809488; 23919339; 23956349; 23961499; 24014011; 24037737; 24058102
MERTK	7027	10461	Retinitis pigmentosa 38	AD/AR	N/A	N/A	Ophthalmologic	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	11062461; 11727200; 17301963; 22180149 
MESP2	29659	145873	Spondylocostal dysostosis, autosomal recessive 2	AR	N/A	N/A	Musculoskeletal	General		Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	15214000; 15122512; 18485326; 20301771
MET	7029	4233	Renal cell carcinoma, papillary	AD	Adult		Oncologic	Oncologic		Surveillance and/or awareness of cancer risk may yield early detection of neoplasms may allow early treatment, which may reduce morbidity and mortality	9140397; 9563489; 9731534; 19402075; 22717761
MFN2	16877	9927	Charcot-Marie-Tooth disease, type 2A2; Hereditary motor and sensory neuropathy VI	AD/AR	N/A	N/A	Neurologic; Ophthalmologic	General		Charcot-Marie-Tooth disease, type 2A2 typically (though not always) results from heterozygous mutations; Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing	9409358; 11148244; 12601114; 15136675; 15064763; 16043786; 16087932; 16835246; 16437557; 17309650; 18946002; 20008656; 19889647; 21715711; 22206013; 22526351; 22546700; 22653593; 22762946; 22957060 
