"Gene"	"Disease"	"Inheritance_JS"	"MedicalAction"	"ModifiedInh_JS"	"Source"	"Inheritance_source"	"Gene_ReviewedJS"	"Comments_JS"
"KIAA0196,SPG8"	"Spastic paraplegia-8, 603563 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KIAA0196"	""
"KIAA0415,SPG48"	"Spastic paraplegia 48, autosomal recessive, 613647 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"AP5Z1"	""
"KIAA1279"	"Goldberg-Shprintzen megacolon syndrome, 609460 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"KIAA1279"	""
"KIF1B,CMT2A,CMT2A1,NBLST1"	"Charcot-Marie-Tooth disease, type 2A1, 118210 (3); Pheochromocytoma,171300 (3); {Neuroblastoma, susceptibility to, 1}, 256700 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KIF1B"	""
"KIF21A,KIAA1708,FEOM1,CFEOM1,CFEOM3B"	"Fibrosis of extraocular muscles, congenital, 1, 135700 (3);Fibrosis of extraocular muscles, congenital, 3B, 135700 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KIF21A"	""
"KIF5A,NKHC,SPG10"	"Spastic paraplegia 10, 604187 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KIF5A"	""
"KIND1,URP1,C20orf42,FERMT1"	"Kindler syndrome, 173650 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"FERMT1"	""
"KIND3,URP2,MIG2B,FERMT3"	"Leukocyte adhesion deficiency, type III, 612840 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"FERMT3"	""
"KIRREL3,NEPH2,KIAA1867,KIRRE,MRD4"	"Mental retardation, autosomal dominant 4, 612581 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KIRREL3"	""
"KISS1R,GPR54"	"Hypogonadotropic hypogonadism, 146110 (3); Precocious puberty,central, 176400 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KISS1R"	""
"KIT,PBT"	"Piebaldism (3); Mast cell leukemia (3); Mastocytosis with associatedhematologic disorder (3); Germ cell tumors, 273300 (3); Gastrointestinal stromal tumor, somatic, 606764 (3); Leukemia, acute myeloid,601626 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KIT"	""
"KLF1,EKLF,INLU,HBFQTL6"	"Blood group--Lutheran inhibitor, 111150 (3); [Hereditarypersistence of fetal hemoglobin], 613566 (3); Anemia, dyserythropoietic congenital, type IV, 613673 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KLF1"	""
"KLHL7,RP42"	"Retinitis pigmentosa-42, 612943 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KLHL7"	""
"KLK4,EMSP1,PRSS17,AI2A1"	"Amelogenesis imperfecta, type IIA1, 204700 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"KLK4"	""
"KRT1,EPPK,NEPPK,EHK"	"Epidermolytic hyperkeratosis, 113800 (3); Ichthyosis, cyclic, withepidermolytic hyperkeratosis, 607602 (3); Ichthyosis histrix, Curth-Macklin Palmoplantar keratoderma, nonepidermolytic, 600962 (3); Plamoplantarkeratoderma, epidermolytic, 144200 (3); Keratosis palmoplantaris striata III, 607654 (3)"	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT1"	""
"KRT10,EHK,BCIE,BIE"	"Epidermolytic hyperkeratosis, 113800 (3); Ichthyosis, cyclic, withepidermolytic hyperkeratosis, 607602 (3); Ichthyosis with confetti, 609165 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT10"	""
"KRT12"	"Meesmann corneal dystrophy, 122100 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT12"	""
"KRT13"	"White sponge nevus, 193900 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT13"	""
"KRT14"	"Epidermolysis bullosa simplex, Dowling-Meara type, 131760 (3);Epidermolysis bullosa simplex, Koebner type, 131900 (3); Epidermolysis bullosa simplex, recessive, 601001 (3); Naegeli-Franceschetti-Jadassohnsyndrome, 161000 (3); Dermatopathia pigmentosa reticularis, 125595 (3); Epidermolysis bullosa simplex, Weber-Cockayne type, 131800 (3)"	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT14"	""
"KRT16,FNEPPK"	"Pachyonychia congenita, Jadassohn-Lewandowsky type, 167200 (3);Palmoplantar keratoderma, nonepidermolytic, 600962 (3); Palmoplantar verrucous nevus, unilateral, 144200 (3); Palmoplantar keratoderma, nonepidermolytic,focal, 613000 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT16"	""
"KRT17,PC2,PCHC1"	"Pachyonychia congenita, Jackson-Lawler type, 167210 (3);Steatocystoma multiplex, 184500 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT17"	""
"KRT18"	"Cirrhosis, cryptogenic (3); {Cirrhosis, noncryptogenic,susceptibility to}, 215600 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"KRT18"	""
"KRT2,KRT2A,KRT2E"	"Ichthyosis bullosa of Siemens, 146800 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT2"	""
"KRT3"	"Meesmann corneal dystrophy, 122100 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT3"	""
"KRT4,CYK4"	"White sponge nevus, 193900 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT4"	""
"KRT5,DDD"	"Epidermolysis bullosa simplex, Dowling-Meara type, 131760 (3);Epidermolysis bullosa simplex, Koebner type, 131900 (3); Epidermolysis bullosa simplex, Weber-Cockayne type, 131800 (3); Epidermolysis bullosa simplex withmottled pigmentation, 131960 (3); Dowling-Degos disease, 179850 (3); Epidermolysis bullosa simplex with migratory circinate erythema, 609352 (3)"	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT5"	""
"KRT6A"	"Pachyonychia congenita, Jadassohn-Lewandowsky type, 167200 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT6A"	""
"KRT6B,PC2"	"Pachyonychia congenita, Jackson-Lawler type, 167210 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT6B"	""
"KRT74,K6IRS4,KRT6IRS4"	"Woolly hair, autosomal dominant, 194300 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT74"	""
"KRT8"	"Cirrhosis, cryptogenic (3); {Cirrhosis, noncryptogenic,susceptibility to}, 215600 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"KRT8"	""
"KRT81,KRTHB1,HB1"	"Monilethrix, 158000 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT81"	""
"KRT83,KRTHB3,HB3"	"Monilethrix, 158000 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT83"	""
"KRT85,KRTHB5,HB5"	"Ectodermal dysplasia, 'pure' hair-nail type, 602032 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT85"	""
"KRT86,KRTHB6,HB6"	"Monilethrix, 158000 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT86"	""
"KRT9,EPPK"	"Epidermolytic palmoplantar keratoderma, 144200 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"KRT9"	""
"KTU,C14orf104,CILD10"	"Ciliary dyskinesia, primary, 10, 612518 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"DNAAF2"	""
"L1CAM,CAML1,HSAS1"	"Hydrocephalus due to aqueductal stenosis, 307000 (3); MASA syndrome,303350 (3); CRASH syndrome, 303350 (3); Hydrocephalus with Hirschsprung disease and cleft palate, 142623 (3); Hydrocephalus with congenital idiopathicintestinal pseudoobstruction, 307000 (3); Corpus callosum, partial agenesis of, 304100 (3)"	"XR"	""	"0"	"Berg.et.al.2013"	"XR"	"L1CAM"	""
"L2HGDH,C14orf160"	"L-2-hydroxyglutaric aciduria, 236792 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"L2HGDH"	""
"LAMA2,LAMM"	"Muscular dystrophy, congenital merosin-deficient, 607855 (3);Muscular dystrophy, congenital, due to partial LAMA2 deficiency, 607855 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LAMA2"	""
"LAMA3,LOCS"	"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3);Epidermolysis bullosa, generalized atrophic benign, 226650 (3); Laryngoonychocutaneous syndrome, 245660 (3) "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LAMA3"	""
"LAMB2,LAMS"	"Nephrosis, congenital, with or without ocular abnormalities, 609049(3); Pierson syndrome, 609049 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LAMB2"	""
"LAMB3"	"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3);Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LAMB3"	""
"LAMC2,LAMNB2,LAMB2T"	"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3);Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LAMC2"	""
"LAMP2,LAMPB"	"Glycogen storage disease IIb, 300257 (3)  "	"XD"	""	"0"	"Berg.et.al.2013"	"XD"	"LAMP2"	""
"LARGE,KIAA0609,MDC1D,MDDGA6,MDDGB6"	"Muscular dystrophy-dystroglycanopathy (congenital with brain and eyeanomalies), type A, 6, 613154 (3); Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6, 608840 (3) "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LARGE"	""
"LBN,EVC2"	"Ellis-van Creveld syndrome, 225500 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"EVC2"	""
"LBR,PHA"	"Pelger-Huet anomaly, 169400 (3); HEM skeletal dysplasia, 215140 (3);Reynolds syndrome, 613471 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LBR"	""
"LCA5,C6orf152"	"Leber congenital amaurosis 5, 604537 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LCA5"	""
"LCAT"	"Norum disease, 245900 (3); Fish-eye disease, 136120 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LCAT"	""
"LDB3,ZASP,CYPHER,KIAA01613,CMD1C,LVNC3"	"Myopathy, myofibrillar, ZASP-related, 609452 (3); Cardiomyopathy,dilated 1C, 601493 (3); Left ventricular noncompaction 3, with or without dilated cardiomyopathy, 601493 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LDB3"	""
"LDHA,LDH1,GSD11"	"Glycogen storage disease XI, 612933 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LDHA"	""
"LEMD3,MAN1"	"Osteopoikilosis, 166700 (3); Buschke-Ollendorff syndrome, 166700 (3);Melorheostosis with osteopoikilosis, 155950 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LEMD3"	""
"LEP,OB"	"Obesity, severe, due to leptin deficiency (3); Obesity, morbid, withhypogonadism (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LEP"	""
"LEPR,OBR"	"Obesity, morbid, with hypogonadism (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LEPR"	""
"LEPRE1,P3H1,GROS1,OI8"	"Osteogenesis imperfecta, type VIII, 610915 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LEPRE1"	""
"LFNG,SCDO3"	"Spondylocostal dysostosis, autosomal recessive 3, 609813 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LFNG"	""
"LGI1,EPT,ETL1"	"Epilepsy, partial, with auditory features, 600512 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LGI1"	""
"LGR8,GREAT,RXFP2"	"Cryptorchidism, bilateral, 219050 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"RXFP2"	""
"LHB"	"Hypogonadism, hypergonadotropic (3); ?Male pseudohermaphroditismdue to defective LH (1)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LHB"	""
"LHCGR,LHR,LCGR"	"Precocious puberty, male, 176410 (3); Leydig cell hypoplasia withpseudohermaphroditism, 238320 (3); Leydig cell hypoplasia with hypergonadotropic hypogonadism, 238320 (3); Luteinizing hormone resistance,female, 238320 (3); Leydig cell adenoma, somatic, with precocious puberty, 176410 (3)"	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"LHCGR"	""
"LHFPL5,TMHS,DFNB67"	"Deafness, autosomal recessive 67, 610265 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LHFPL5"	""
"LHX3,CPHD3"	"Pituitary hormone deficiency, combined, 3, 221750 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LHX3"	""
"LHX4,CPHD4"	"Pituitary hormone deficiency, combined, 4, 262700 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LHX4"	""
"LIFR,STWS,SWS,SJS2"	"Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome, 601559 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LIFR"	""
"LIG1"	"DNA ligase I deficiency (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LIG1"	""
"LIG4"	"LIG4 syndrome, 606593 (3); {Multiple myeloma, resistance to}, 254500-3 "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LIG4"	""
"LIM2,MP19"	"Cataract, cortical pulverulent, late-onset (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LIM2"	""
"LIPA,CESD"	"Wolman disease, 278000 (3); Cholesteryl ester storage disease, 278000-3 "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LIPA"	""
"LIPC,HL,HDLCQ12"	"Hepatic lipase deficiency (3); [High density lipoprotein cholesterollevel QTL 12], 612797 (3); {Diabetes mellitus, noninsulin-dependent}, 125853 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LIPC"	""
"LIPH,LAH2,ARWH2"	"Hypotrichosis, localized, autosomal recessive 2, 604379 (3);Woolly hair, autosomal recessive 2 with or without hypotrichosis, 604379 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LIPH"	""
"LITAF,CMT1C"	"Charcot-Marie-Tooth disease, type 1C, 601098 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LITAF"	""
"LMAN1,ERGIC53,F5F8D,MCFD1"	"Combined factor V and VIII deficiency, 227300 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LMAN1"	""
"LMBR1,ACHP,C7orf2,PPD2"	"Acheiropody, 200500 (3); Polydactyly, preaxial type II, 174500 (3);Triphalangeal thumb, type I, 174500 (3); Triphalangeal thumb-polysyndactyly syndrome, 174500 (3); Syndactyly, type IV, 186200 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LMBR1"	""
"LMF1,TMEM112"	"Lipase deficiency, combined, 246650 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LMF1"	""
"LMNA,LMN1,EMD2,FPLD,CMD1A,HGPS,LGMD1B"	"Emery-Dreifuss muscular dystrophy, AD, 181350 (3); Cardiomyopathy, dilated, 1A, 115200 (3); Lipodystrophy, familial partial, 151660 (3);Emery-Dreifuss muscular dystrophy, AR, 181350 (3); Charcot-Marie-Tooth disease,type 2B1, 605588 (3); Muscular dystrophy, limb-girdle, type 1B, 159001 (3); Mandibuloacral dysplasia, 248370 (3); Hutchinson-Gilford progeria, 176670 (3); Restrictive dermopathy, lethal, 275210 (3); Heart-hand syndrome, Slovenian type, 610140 (3)"	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"LMNA"	""
"LMNB1"	"Leukodystrophy, adult-onset, autosomal dominant, 169500 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LMNB1"	""
"LMNB2,LMN2"	"Lipodystrophy, partial, acquired, 608709 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LMNB2"	""
"LMX1B,NPS1"	"Nail-patella syndrome, 161200 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LMX1B"	""
"LOR"	"Vohwinkel syndrome with ichthyosis, 604117 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LOR"	""
"LOXHD1,DFNB77"	"Deafness, autosomal recessive 77, 613079 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LOXHD1"	""
"LPIN1"	"Myoglobinuria, acute recurrent, autosomal recessive, 268200 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LPIN1"	""
"LPIN2"	"Majeed syndrome, 609628 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LPIN2"	""
"LPL,LIPD,HDLCQ11"	"Lipoprotein lipase deficiency, 238600 (3); Combined hyperlipidemia,familial, 144250 (3); [High density lipoprotein cholesterol level QTL 11] (3)  "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"LPL"	""
"LRAT,LCA14"	"Retinal dystrophy, early-onset severe, 613341 (3); Leber congenitalamaurosis 14, 613341 (3); Retinitis pigmentosa, juvenile, 613341 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LRAT"	""
"LRP2,DBS"	"Donnai-Barrow syndrome, 222448 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LRP2"	""
"LRP4,MEGF7,CLSS"	"Cenani-Lenz syndactyly syndrome, 212780 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LRP4"	""
"LRP5,BMND1,LRP7,LR3,OPPG,VBCH2,OPTA1,EVR4"	"Osteoporosis-pseudoglioma syndrome, 259770 (3); [Bone mineral densityvariability 1], 601884 (3); Osteopetrosis, AD type I, 607634 (3); Hyperostosis, endosteal, 144750 (3); van Buchem disease, type 2, 607636 (3); Osteosclerosis,144750 (3); {Osteoporosis}, 166710 (3); Exudative vitreoretinopathy 4, 601813 (3)"	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"LRP5"	""
"LRPPRC,LRP130,LSFC"	"Leigh syndrome, French-Canadian type, 220111 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LRPPRC"	""
"LRRC50,ODA7,CILD13"	"Ciliary dyskinesia, primary, 13, 613193 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"DNAAF1"	""
"LRTOMT,LRTOMT1,LRTOMT2,DFNB63"	"Deafness, autosomal recessive 63, 611451 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LRTOMT"	""
"LTBP2,GLC3D"	"Glaucoma 3, primary congenital, D, 613086 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LTBP2"	""
"LTBP3,STHAG6"	"Tooth agenesis, selective, 6, 613097 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LTBP3"	""
"LTBP4,LTBP4S,LTBP4L"	"Cutis laxa with severe pulmonary, gastrointestinal, and urinaryabnormalities, 613177 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LTBP4"	""
"LTC4S"	"Leukotriene C4 synthase deficiency (1)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LTC4S"	""
"LYZ"	"Amyloidosis, renal, 105200 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"LYZ"	""
"MADH9,SMAD9,MADH6"	"Pulmonary hypertension, primary, 178600 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"SMAD9"	""
"MAF"	"Cataract, pulverulent or cerulean, with or without microcornea (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MAF"	""
"MAGT1,IAP"	"Mental retardation, X-linked 95, 300716 (3)  "	"XD"	""	"0"	"Berg.et.al.2013"	"XD"	"MAGT1"	""
"MAMLD1,CXorf6,F18,HYSP2"	"Hypospadias 2, X-linked, 300758 (3)  "	"XR"	""	"0"	"Berg.et.al.2013"	"XR"	"MAMLD1"	""
"MAN2B1,MANB"	"Mannosidosis, alpha-, types I and II, 248500 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MAN2B1"	""
"MANBA,MANB1"	"Mannosidosis, beta, 248510 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MANBA"	""
"MAOA"	"Brunner syndrome, 300615 (3)  "	"XR"	""	"0"	"Berg.et.al.2013"	"XR"	"MAOA"	""
"MAP2K1,PRKMK1,MKK1,MEK1"	"Cardiofaciocutaneous syndrome, 115150 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MAP2K1"	""
"MAP2K2,PRKMK2,MEK2,MKK2"	"Cardiofaciocutaneous syndrome, 115150 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MAP2K2"	""
"MAPBPIP,p14,LAMTOR2,ROBLD3"	"Immunodeficiency due to defect in MAPBP-interacting protein, 610798-3 "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"LAMTOR2"	""
"MAPK10,PRKM10,JNK3"	"Epileptic encephalopathy, Lennox-Gastaut type, 606369 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MAPK10"	""
"MARVELD2,MARVD2,TRIC,DFNB49"	"Deafness, autosomal recessive 49, 610153 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MARVELD2"	""
"MASP2"	"MASP2 deficiency (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MASP2"	""
"MAT1A,MATA1,SAMS1"	"Hypermethioninemia, persistent, autosomal dominant, due tomethionine adenosyltransferase I/III deficiency, 250850 (3); Methionine adenosyltransferase deficiency, autosomal recessive, 250850 (3) "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"MAT1A"	""
"MATN3,EDM5,HOA,OS2"	"Epiphyseal dysplasia, multiple, 5, 607078 (3); {Osteoarthritissusceptibility 2}, 140600 (3); Spondyloepimetaphyseal dysplasia, 608728 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MATN3"	""
"MATR3,MPD2"	"Myopathy, distal 2, 606070 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MATR3"	""
"MBD5,KIAA1461,MRD1"	"Mental retardation, autosomal dominant 1, 156200 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MBD5"	""
"MBTPS2,S2P,IFAP"	"Ichthyosis follicularis, atrichia, and photophobia syndrome, 308205-3 "	"XR"	""	"0"	"Berg.et.al.2013"	"XR"	"MBTPS2"	""
"MC2R"	"Glucocorticoid deficiency, due to ACTH unresponsiveness, 202200 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MC2R"	""
"MC4R"	"Obesity, autosomal dominant, 601665 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MC4R"	""
"MCCC1,MCCA"	"3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MCCC1"	""
"MCCC2,MCCB"	"3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MCCC2"	""
"MCFD2,F5F8D2"	"Factor V and factor VIII, combined deficiency of, 613625 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MCFD2"	""
"MCOLN1,ML4"	"Mucolipidosis IV, 252650 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MCOLN1"	""
"MCPH1"	"Microcephaly, primary autosomal recessive, 1, 251200 (3); Prematurechromosome condensation with microcephaly and mental retardation, 606858 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MCPH1"	""
"MECP2,RTT,PPMX,MRX16,MRX79,AUTSX3,MRXSL,MRXS13,MRX79,MRX16"	"Rett syndrome, 312750 (3); Mental retardation, X-linked, syndromic13, 300055 (3); Rett syndrome, preserved speech variant, 312750 (3); Encephalopathy, neonatal severe, 300673 (3); {Autism susceptibility, X-linked3}, 300496 (3); Angelman syndrome, 105830 (3); Mental retardation, X-linked, Lubs type, 300260 (3)"	"XD"	""	"0"	"Berg.et.al.2013"	"XD"	"MECP2"	""
"MED12,TNRC11,TRAP230,HOPA,KIAA0192,OKS,FGS1"	"Opitz-Kaveggia syndrome, 305450 (3); Lujan-Fryns syndrome, 309520 (3)  "	"XR"	""	"0"	"Berg.et.al.2013"	"XR"	"MED12"	""
"MED13L,THRAP2,PROSIT240,TRAP240L,KIAA1025"	"Transposition of the great arteries, dextro-looped 1, 608808 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MED13L"	""
"MED17,CRSP6,CRSP77,TRAP80,DRIP80"	"Microcephaly, postnatal progressive, with seizures and brainatrophy, 613668 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MED17"	""
"MED25,PTOV2,ARC92,CMT2B2"	"Charcot-Marie-Tooth disease, type 2B2, 605589 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MED25"	""
"MEF2C,C5DELq14.3;DEL5q14.3"	"Mental retardation, stereotypic movements, epilepsy, and/orcerebral malformations, 613443 (3); Chromosome 5q14.3 deletion syndrome, 613443 (4) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MEF2C"	""
"MERTK,RP38"	"Retinitis pigmentosa-38, 268000 (3)  "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"MERTK"	""
"MESP2,SCDO2"	"Spondylocostal dysostosis, autosomal recessive 2, 608681 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MESP2"	""
"MET,AUTS9"	"Renal cell carcinoma, papillary, familial and sporadic, 605074 (3);Hepatocellular carcinoma, childhood type, 114550 (3); {Autism suseptibility 9}, 611015 (3) "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"MET"	""
"MFN2,KIAA0214,CMT2A2"	"Charcot-Marie-Tooth disease, type 2A2, 609260 (3); Hereditary motorand sensory neuropathy VI, 601152 (3)  "	"CX"	""	"0"	"Berg.et.al.2013"	"CX"	"MFN2"	""
"MFRP,MCOP5"	"Microphthalmia, isolated 5, 611040 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MFRP"	""
"MGAT2,CDGS2,CDG2A"	"Congenital disorder of glycosylation, type IIa, 212066 (3)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MGAT2"	""
"MGP,NTI"	"Keutel syndrome, 245150 (3); {Natural teeth remaining intact} (2)  "	"AR"	""	"0"	"Berg.et.al.2013"	"AR"	"MGP"	""
"MHC2TA,C2TA,CIITA"	"Bare lymphocyte syndrome, type II, complementation group A, 209920(3); {Rheumatoid arthritis, susceptibility to}, 180300 (3)  "	"AD"	""	"0"	"Berg.et.al.2013"	"AD"	"CIITA"	""
"MID1,OGS1,BBBG1,FXY,OSX"	"Opitz G syndrome, type I, 300000 (3)  "	"XR"	""	"0"	"Berg.et.al.2013"	"XR"	"MID1"	""
